id,locality,commute_time_mins,distance_km
27,Kodigehalli Bangalore,61,21.956
28,Nimra  for Rent  In Nagawara Bangalore,39,13.927
29,Chandapura Bangalore,54,31.014
30,Sai Vaishno Nilaya for Rent  In Jayanagar Bangalore,50,21.39
31,Ias Layout for Rent  In Kasavanahalli Bangalore,35,12.777
32,"Ds Pride, Basavanagudi for Rent  In Basavanagudi Police Station Bangalore",56,23.096
33,"Ashirvad for Rent  In 490, 14th B Cross Rd, Mahalakshmipuram Layout, Nagapura, Bengaluru, Karnataka 560086, India Bangalore",70,26.416
34,"Ahad Euphoria, Chikkakannalli for Rent  In Chikkakannalli Bangalore",37,12.99
35,Dodda for Rent  In Yelahanka New Town Bangalore,68,25.811
36,Stand Alone Building for Rent  In Btm 1st Stage Bangalore,41,16.254
37,Milestone Calisad Doddakammanahalli for Rent  In Doddakammanahalli Bangalore,62,23.476
38,Sneha Aprts for Rent  In Vijayanagar Bangalore,64,25.462
39,Duplex Building for Rent  In Agrahara Dasarahalli Bangalore,68,24.545
40,Sri Radhakrishna Nivasa for Rent  In Dooravani Nagar Bangalore,21,6.445
41,"Skanda Enclave,  Aecs Layout for Rent  In Singasandra Bangalore",43,15.342
42,Stand Alone Building for Rent  In Puttanahalli Bangalore,54,22.216
43,Trinay Residency  Hennur for Rent  In Chikkagubbi Bangalore,53,18.903
44,Ap for Rent  In Srinivasanagara Bangalore,58,23.867
45,Sri Radhakrishna Nivasa for Rent  In Dooravani Nagar Bangalore,21,6.445
46,Sri Radhakrishna Nivasa for Rent  In Dooravani Nagar Bangalore,21,6.445
47,Star Manzil for Rent  In R T Nagar Bangalore,51,16.641
48,Stand Alone Building for Rent  In Bommanahalli Bangalore,42,16.5
49,South Avenue for Lease  In Gottigere Bangalore,65,24.65
50,Jaishree Green City Ranchi for Rent  In Old Argora Chowk Bangalore,2040,1949.313
51,Dooravani Nagar Bangalore,17,5.655
52,Annapurneshwari Nagar Bangalore,66,26.09
53,Provident Sunworth City for Rent  In Venkatapura Bangalore,63,39.964
54,Satwi Clarinet for Rent  In Kalkere Bangalore,43,16.648
55,Stand Alone Building for Rent  In Kannuru Bangalore,61,25.324
56,Stand Alone Building for Rent  In Kodathi Gate Bangalore,24,7.577
57,Shri Ram Whitefield Global  for Rent  In Seegehalli Bangalore,30,10.562
58,S K Layout  for Rent  In Electronic City Phase 1 S K Layout Bangalore,41,21.265
59,Stand Alone Building  for Rent  In Peenya Bangalore,75,32.213
60,Whitefield for Rent  In Whitefield Bangalore,30,10.562
61,Hongasandra for Rent  In Hongasandra Bangalore,29,10.807
62,Stand Alone Building for Rent  In Kattigenahalli Bangalore,70,29.68
63,"R S Exotica, J P Nagar for Rent  In Rs Exotica Appartments, 2, 3rd Cross Rd, Paradise Colony, Phase 7, J. P. Nagar, Bengaluru, Karnataka 560076, India Bangalore",38,13.945
64,"Sobha Sunscape, Nagegowdanapalya for Rent  In Nagegowdanapalya Bangalore",56,29.862
65,Century Saras for Rent  In Yelahanka Bangalore,81,33.029
66,"Asset Aura, Gunjur Palya for Rent  In Gunjur Palya Bangalore",19,6.139
67,Bda Indraprashta for Rent  In  Kengeri Satellite Town Bangalore,,
68,Lakkasandra Bangalore,,
69,Standalone Building  for Rent  In Srirampura Bangalore,,
70,Stand Alone Building  for Rent  In Kaggadasapura Bangalore,,
71,Survith Shelters for Rent  In Suvrith Shelter Bangalore,,
72,Vk Developers for Rent  In Raghuvanahalli Bangalore,,
73,"Stand Alone Building for Rent  In 98, Vinayaka Layout 3rd Stage, Govindaraja Nagar Ward, Gkw Layout, Vijayanagar, Bengaluru, Karnataka 560040, India Bangalore",,
74,Elin Mahaveer  for Rent  In  Electronic City  Bangalore,,
75,Stand Alone Building  for Rent  In Whitefield Bangalore,,
76,L G Layout for Rent  In Kogilu Bangalore,,
77,Bhel Layout for Rent  In Rajarajeshwari Nagar Bangalore,,
78,Sri Venkateswara Nilaya for Rent  In Btr Gardens Layout Bangalore,,
79,"Laljinagar Lakkasandra for Rent  In Lakkasandra, Laljinagar, Wilson Garden Bangalore",,
80,"Assetz Marq, Kannamangala for Rent  In Kannamangala Bangalore",,
81,Brigade El Dorado for Rent  In Huvinayakanahalli Bangalore,,
82,Brigade El Dorado for Rent  In Huvinayakanahalli Bangalore,,
83,Sb for Rent  In Jp Nagar Bangalore,,
84,Thindlu Bangalore,,
85,Annasandrapalya Extension Bangalore,,
86,Ds Max Sukruth for Rent  In Chandapura Bangalore,,
87,India Estate Green for Rent  In Karthod Village  Bangalore,,
88,Apatment for Rent  In Shivananjappa Layout Bangalore,,
89,Vishweshwaraiah Layout Bangalore,,
90,Rt Nagar Main Rd Bangalore,,
91,Standalone Building  for Rent  In Sampangi Rama Nagara   Bangalore,,
92,K3 Ventures Bangalore,,
93,Sampangiram Nagar Bangalore,,
94,Ckc Garden Bangalore,,
95,"Passcode  Sudam Nagar for Rent  In Lal Bagh Road ( Nolift, 3rd Floor) Bangalore",,
96,Nagarathpete Bangalore,,
97,Nagarathpete Bangalore,,
98,Wilson Garden Bangalore,,
99,"Vadivelu Buildings for Rent  In Shivajinagar Bus Stand,shivajinagar Bangalore Bangalore",,
100,Vinobhanagar Sudhamanagar Bangalore Bangalore,,
101,Shanti Nagar Bangalore,,
102,"Skylark Residency for Rent  In 30, Dr Omar Sherif Rd, Basavanagudi, Bengaluru, Karnataka 560004, India Bangalore",,
103,Shanti Nagar Bangalore,,
104,Khan Mansion for Rent  In Shanthi Nagar Bangalore,,
105,"Shanti Nagar ( 3rd Floor, No Lift) Bangalore",,
106,Shanti Nagar Bangalore,,
